id,IPL_year,Match_Info,Match_Date,Match_Team,Match_Result,Match_Cricbuzz_URL,URL,Stadium,Location,Highlights_available
6533928,2012,42nd Match,01-05-2012,DECCAN CHARGERS vs PUNE WARRIORS,Deccan Chargers won by 13 runs,https://www.cricbuzz.com/cricket-scores/11223/dcg-vs-pwi-42nd-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11223/dcg-vs-pwi-42nd-match-indian-premier-league-2012,Barabati Stadium,Cuttack,FALSE
4546005,2012,43rd Match,01-05-2012,RAJASTHAN ROYALS vs DELHI CAPITALS,Delhi Daredevils won by 6 wkts,https://www.cricbuzz.com/cricket-scores/11224/rr-vs-dc-43rd-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11224/rr-vs-dc-43rd-match-indian-premier-league-2012,Sawai Mansingh Stadium,Jaipur,FALSE
3404223,2012,44th Match,02-05-2012,ROYAL CHALLENGERS BANGALORE vs KINGS XI PUNJAB,Kings XI Punjab won by 4 wkts,https://www.cricbuzz.com/cricket-scores/11225/rcb-vs-kxip-44th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11225/rcb-vs-kxip-44th-match-indian-premier-league-2012,M.Chinnaswamy Stadium,Bengaluru,FALSE
5921308,2012,45th Match,03-05-2012,PUNE WARRIORS vs MUMBAI INDIANS,Mumbai Indians won by 1 run,https://www.cricbuzz.com/cricket-scores/11226/pwi-vs-mi-45th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11226/pwi-vs-mi-45th-match-indian-premier-league-2012,Maharashtra Cricket Association Stadium,Pune,FALSE
9674281,2012,46th Match,04-05-2012,CHENNAI SUPER KINGS vs DECCAN CHARGERS,Chennai Super Kings won by 10 runs,https://www.cricbuzz.com/cricket-scores/11227/csk-vs-dcg-46th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11227/csk-vs-dcg-46th-match-indian-premier-league-2012,MA Chidambaram Stadium,Chennai,FALSE
5699373,2012,47th Match,05-05-2012,KOLKATA KNIGHT RIDERS vs PUNE WARRIORS,Kolkata Knight Riders won by 7 runs,https://www.cricbuzz.com/cricket-scores/11228/kkr-vs-pwi-47th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11228/kkr-vs-pwi-47th-match-indian-premier-league-2012,Eden Gardens,Kolkata,FALSE
2987818,2012,48th Match,05-05-2012,KINGS XI PUNJAB vs RAJASTHAN ROYALS,Rajasthan Royals won by 43 runs,https://www.cricbuzz.com/cricket-scores/11229/kxip-vs-rr-48th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11229/kxip-vs-rr-48th-match-indian-premier-league-2012,Punjab Cricket Association IS Bindra Stadium,Mohali,FALSE
4950347,2012,49th Match,06-05-2012,MUMBAI INDIANS vs CHENNAI SUPER KINGS,Mumbai Indians won by 2 wkts,https://www.cricbuzz.com/cricket-scores/11230/mi-vs-csk-49th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11230/mi-vs-csk-49th-match-indian-premier-league-2012,Wankhede Stadium,Mumbai,FALSE
5794464,2012,50th Match,06-05-2012,ROYAL CHALLENGERS BANGALORE vs DECCAN CHARGERS,Royal Challengers Bangalore won by 5 wkts,https://www.cricbuzz.com/cricket-scores/11231/rcb-vs-dcg-50th-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11231/rcb-vs-dcg-50th-match-indian-premier-league-2012,M.Chinnaswamy Stadium,Bengaluru,FALSE
4280526,2012,51st Match,07-05-2012,DELHI CAPITALS vs KOLKATA KNIGHT RIDERS,Kolkata Knight Riders won by 6 wkts,https://www.cricbuzz.com/cricket-scores/11232/dc-vs-kkr-51st-match-indian-premier-league-2012,https://www.cricbuzz.com/live-cricket-scorecard/11232/dc-vs-kkr-51st-match-indian-premier-league-2012,Arun Jaitley Stadium,Delhi,FALSE
